Connections,روابط,
Let's Set Up Your Accounts and Taxes.,لنُعِدَّ حساباتك وضرائبك.,
"Accounts, Invoices, Taxation, and more.",الحسابات والفواتير والضرائب وغيرها.,
Total Outgoing Bills,إجمالي الفواتير الصادرة,
Total Incoming Payment,إجمالي المدفوعات الواردة,
Total Incoming Bills,إجمالي الفواتير الواردة,
Total Outgoing Payment,إجمالي المدفوعات الصادرة,
Review Chart of Accounts,مراجعة شجرة الحسابات,
Learn more about Chart of Accounts,اعرف المزيد عن شجرة الحسابات,
Create Your First Purchase Invoice ,أنشئ أول فاتورة مشتريات,
Let’s create your first Purchase Invoice,لنُنشئ أول فاتورة مشتريات لك,
Updating Opening Balances,تحديث الأرصدة الافتتاحية,
Learn how to update opening balances,تعرّف على كيفية تحديث الأرصدة الافتتاحية,
Cost Centers for Budgeting and Analysis,مراكز التكلفة للموازنة والتحليل,
View Cost Center Tree,عرض شجرة مراكز التكلفة,
Create Workspace,إنشاء مساحة عمل,
"Search or type a command ({0})",ابحث أو اكتب أمرًا ({0}),
Is Rate Adjustment Entry (Debit Note),قيد تسوية سعر (إشعار مدين),
Issue a debit note with 0 qty against an existing Sales Invoice,أصدر إشعار مدين بكمية 0 مقابل فاتورة مبيعات موجودة,
Watch Tutorial,شاهد الشرح,
Sign In,تسجيل الدخول,
Welcome! Please sign in to continue.,أهلاً! سجّل الدخول للمتابعة.,
Forgot password?,هل نسيت كلمة السر؟,
Sign Up,إنشاء حساب,
Let's setup your account.,لنجهّز حسابك.,
Send Link,إرسال الرابط,
Back to sign in,العودة لتسجيل الدخول,
Please check your email.,تحقّق من بريدك.,
Resend,إعادة الإرسال,
Login with password,الدخول بكلمة السر,
"Please enter your email, we'll send you password reset link",أدخِل بريدك وسنُرسل لك رابط إعادة تعيين كلمة السر,
Invoicing,الفوترة,
Tax & Benefits,الضرائب والمزايا,
HR Setup,إعداد الموارد البشرية,
Tenure,مدة الخدمة,
Recruitment,التوظيف,
Performance,الأداء,
ZATCA,الزكاة والضريبة,
Shift & Attendance,الورديات والحضور,
Leaves,الإجازات,
Expenses,المصروفات,
Selling,المبيعات,
Buying,المشتريات,
Stock,المخازن,
Manufacturing,التصنيع,
Subcontracting,التعاقد من الباطن,
CRM,إدارة علاقات العملاء,
Projects,المشروعات,
Support,الدعم,
Assets,الأصول,
Quality Management,الجودة,
Accounts,الحسابات,
Payroll,الرواتب والأجور,
HR,الموارد البشرية,
KSA Compliance,الامتثال السعودي,
Reports & Masters,التقارير والبيانات الأساسية,
Masters,البيانات الأساسية,
Reports,التقارير,
Stock Entry,حركة مخزون,
New Stock Entry,حركة مخزون جديدة,
Stock Entry Type,نوع حركة المخزون,
Posting Date,تاريخ القيد,
Posting Time,وقت القيد,
Edit Posting Date and Time,تعديل تاريخ القيد ووقته,
BOM,قائمة المواد,
BOM Info,معلومات قائمة المواد,
BOM No,رقم قائمة المواد,
From BOM,من قائمة المواد,
Sales Invoice,فاتورة المبيعات,
Purchase Invoice,فاتورة المشتريات,
Quotation,عرض السعر,
Sales Order,أمر البيع,
Purchase Order,أمر الشراء,
Delivery Note,إذن التسليم,
Payment Entry,سند القبض/الصرف,
Journal Entry,قيد اليومية,
Supplier,المورد,
Item,الصنف,
Item Name,اسم الصنف,
Item Code,كود الصنف,
Items,الأصناف,
Warehouse,المخزن,
Series,السلسلة,
Payment Due Date,تاريخ الاستحقاق,
Amended From,معدَّلة من,
Return Against,مرتجع عن,
Is Return (Credit Note),مرتجع (إشعار دائن),
Include Payment (POS),تشمل السداد (نقطة بيع),
POS Profile,ملف نقطة البيع,
